,Keyword,Count
203,Mahatma Gandhi,59
204,Facebook,59
205,Corruption,59
206,S&P,59
207,K. Chandrasekhar Rao,58
208,sonia gandhi,58
209,Hyderabad,57
210,Indian Army,57
211,Sabarimala,57
212,Mukul Sangma,57
213,Kathua,56
214,Media,56
215,NPP,55
216,2019 Lok Sabha Election,55
217,Punjab National Bank,54
218,IPFT,54
219,Yashwant Sinha,53
220,Navjot Singh Sidhu,52
221,Haryana,52
222,modi government,52
223,Rajiv Gandhi,51
224,mumbai news,51
225,Ram Mandir,50
226,Naveen Patnaik,50
227,Aadhaar,50
228,G Parameshwara,50
229,Ram Temple,49
230,CPI(M),49
231,Hindu,49
232,Ajit Jogi,49
233,Bangladesh,49
234,CriticalPoint,49
235,Venkaiah Naidu,48
236,Security,48
237,Prakash Javadekar,48
238,Mizoram Assembly Election 2018,48
239,supreme court,48
240,Sambit Patra,47
241,Dipak Misra,47
242,Janata Dal Secular,47
243,Anshu Prakash,46
244,BJD,46
245,Constitution,46
246,Left Front,46
247,Lingayats,46
248,Padmaavat,46
249,National People's Party,46
250,M. Karunanidhi,46
251,Caste,45
252,Finance Minister Arun Jaitley,45
253,Kapil Sibal,45
254,Nitin Gadkari,45
255,Delhi Government,45
256,US,45
257,NDPP,45
258,Congress lies,45
259,2019 general elections,45
260,Ananth Kumar,44
261,O Panneerselvam,44
262,Jayalalithaa,44
263,SC/ST Act,44
264,Lok Sabha Polls,44
265,Odisha,44
266,States,44
267,Monsoon Session Of Parliament,44
268,The big news,44
269,Mahagathbandhan,43
270,TTV Dhinakaran,43
271,Unnao Rape Case,43
272,US President Donald Trump,43
273,M Venkaiah Naidu,43
274,Hardik Patel,43
275,Maoists,43
276,Piyush Goyal,43
277,Keshav Prasad Maurya,43
278,Election,42
279,Chief Minister Yogi Adityanath,42
280,Adityanath,42
281,Lingayat,42
282,rafale deal,42
283,Satya Pal Malik,41
284,Assam NRC,41
285,Mehul Choksi,41
286,Dassault Aviation,41
287,Triple Talaq,41
288,Vijay Mallya,41
289,Rashtriya Janata Dal,41
290,Emergency,41
291,Budget 2018,41
292,Communist Party Of India Marxist,41
293,Rahul Gandhi lies,41
294,madhya pradesh assembly elections,41
295,P Chidambaram,40
296,K Chandrashekar Rao,40
297,Kolkata,40
298,CJI Dipak Misra,40
299,Asaduddin Owaisi,40
300,Cauvery Management Board,40
301,People's Democratic Party,40
302,Xi Jinping,40
303,National Democratic Alliance,40
304,Assembly Elections 2018,40
305,Congress President Rahul Gandhi,40
306,Rajasthan Assembly Election,40
307,AICC,40
308,donald trump,39
309,Telangana Rashtra Samithi,39
310,UP,39
311,Delhi Assembly,39
312,Sangh Parivar,39
313,Amarinder Singh,38
314,Congress vs BJP,38
315,PNB,38
316,Nationalist Congress Party,38
317,Delhi Police,38
318,Vajubhai Vala,38
319,NC,38
320,Bharat Bandh,38
321,Karnataka Assembly Election,38
322,AAP Arvind Kejriwal,37
323,BR Ambedkar,37
324,Smriti Irani,37
325,Ajay Maken,37
326,Newswrap,37
327,Karnataka BJP,37
328,Union Budget 2018,37
329,Assembly Elections,37
330,2018 Karnataka Assembly Election,37
331,2019 Elections,36
332,Shiromani Akali Dal,36
333,Qbullet,36
334,NN Vohra,36
335,Jammu,36
336,Tripura Elections 2018,36
337,Russia,36
338,kolkata news,36
339,Karnataka Assembly,36
340,Prakash Karat,36
341,EVM,36
342,Chhattisgarh Polls,36
343,Neiphiu Rio,36
344,Indigenous People's Front Of Tripura,36
345,BJP vs Congress,35
346,Congress Party,35
347,Sumitra Mahajan,35
348,LK Advani,35
349,Randeep Singh Surjewala,35
350,Srinagar,35
351,Karnataka Elections 2018 Congress,35
352,Union Budget 2018-19,35
353,Mysuru,35
354,Farmers,35
355,Digvijaya Singh,35
356,Cambridge Analytica,35
357,Karnataka Assembly Polls,35
358,Vladimir Putin,34
359,Madras High Court,34
360,France,34
361,AIMIM,34
362,QWrap,33
363,Karnataka Congress,33
364,Nawaz Sharif,33
365,JNU,33
366,Mulayam Singh Yadav,33
367,Third Front,33
368,Karnataka Election 2018 Congress,33
369,Karnataka Poll Results,33
370,National Register Of Citizens,33
371,Left,33
372,Rakesh Asthana,32
373,congress president rahul gandhi,32
374,Sanjay Singh,32
375,Manoj Tiwari,32
376,BJP President Amit Shah,32
377,Election Commission of India,32
378,QCrime,32
379,Abhishek Manu Singhvi,32
380,Chief Minister,32
381,Uttar Pradesh Bypolls,32
382,Kairana,32
383,Cauvery,32
384,NPF,32
385,Modi Government,31
386,BJP Government,31
387,Lok Sabha elections 2019,31
388,Jharkhand,31
389,Triple Talaq Bill,31
390,Anand Sharma,31
391,Karnataka Election 2018,31
392,INC,31
393,Grand Alliance,30
394,MJ Akbar,30
395,Jignesh Mevani,30
396,North Korea,30
397,Congress Working Committee,30
398,Sanjay Raut,30
399,Yeddyurappa,30
400,Bastar,30
401,Prime Minister,30
402,Society,30
403,Hinduism,29
404,Lok Sabha Elections,29
405,B. S. Yeddyurappa,29
406,Tej Pratap Yadav,29
407,Farooq Abdullah,29
408,Nirav modi,29
409,Anil Ambani,29
410,ABVP,29
411,Lynching,29
412,United Nations,29
413,Ram Vilas Paswan,29
414,Nagpur,29
415,AIIMS,29
416,Madhya Pradesh Polls,29
417,Congress ecosystem,29
418,K Chandrashekhar Rao,28
419,Electoral Bonds,28
420,VHP,28
421,Babri Masjid,28
422,Sharad Yadav,28
423,Rahul Gandhi Congress President,28
424,KARNATAKA,28
425,DK Shivakumar,28
426,Biju Janata Dal,28
427,Himanta Biswa Sarma,28
428,Jaipur,28
429,Vijay Rupani,28
430,Andhra Pradesh Special Status,28
431,OP Rawat,28
432,Education,28
433,West Bengal Panchayat Polls,28
434,2019 elections,28
435,Manohar Lal Khattar,27
436,Defence Minister Nirmala Sitharaman,27
437,Dilip Ghosh,27
438,Alwar,27
439,Shatrughan Sinha,27
440,Chamundeshwari,27
441,Meghalaya Elections,27
442,Telangana Polls,27
443,LUCKNOW,27
444,Conrad Sangma,27
445,Office Of Profit,27
446,election commission,27
447,Indian Economy,26
448,Ajmer,26
449,Unemployment,26
450,2019 Assembly Elections,26
451,Chief Minister Siddaramaiah,26
452,President Donald Trump,26
453,Mob Lynching,26
454,bengaluru news,26
455,Ahmed Patel,26
456,Parliament Monsoon Session,26
457,Fake News,26
458,Kathua Rape and Murder,26
459,SC,26
460,Biplab Kumar Deb,26
461,Karnataka Governor Vajubhai Vala,26
462,Agartala,26
463,Communist Party Of India,26
464,Manipur,26
465,chhattisgarh assembly elections,26
466,mahagathbandhan,26
467,VVPAT,25
468,RBI,25
469,Tamil Nadu Politics,25
470,Kumaraswamy,25
471,Lalu Prasad,25
472,Environment,25
473,Nirav Modi Fraud,25
474,Finance Minister,25
475,Chief Minister Mamata Banerjee,25
476,Democracy,25
477,Terrorism,25
478,Unnao,25
479,Makkal Needhi Maiam,25
480,Panchayat Polls,25
481,J. Jayalalithaa,25
482,Alok Verma,25
483,Diplomacy,25
484,Captain Amarinder Singh,24
485,Digvijay Singh,24
486,Uttarakhand,24
487,BJP Karnataka,24
488,Aligarh Muslim University,24
489,Rafale Scam,24
490,Secularism,24
491,HAL,24
492,National Register of Citizens,24
493,GDP,24
494,Karnataka Assembly polls 2018,24
495,Janata Dal United,24
496,ians,24
497,MLA,24
498,Shareworthy,24
499,Ballari,24
500,PNB Scam,24
501,History,24
502,Central Bureau of Investigation,23
503,Madhya Pradesh Elections 2018,23
504,Maldives,23
505,Telangana Assembly,23
506,CM Yogi Adityanath,23
507,PNB scam,23
508,Economy,23
509,Section 377,23
510,Bhartiya Janta Party,23
511,Bhopal,23
512,EVMs,23
513,Naga People's Front,23
514,chhattisgarh,23
515,IAS,22
516,Saudi Arabia,22
517,Biplab Deb,22
518,Donald  Trump,22
519,Bypolls,22
520,Prime Minister of India,22
521,Prime Minister Modi,22
522,NSUI,22
523,Army,22
524,PNB Fraud,22
525,Kashmir Conflict,22
526,All India Congress Committee,22
527,Deve Gowda,22
528,Telangana Rashtra Samiti,22
529,VK Sasikala,22
530,UP Bypolls,22
531,Tripura Polls,22
532,Tripura Elections,22
533,Article 35a,22
534,Electronic Voting Machines,22
535,TR Zeliang,22
536,rajasthan,22
537,telangana assembly elections,22
538,cbi,22
539,karnataka,22
540,Khalistan,21
541,Amanatullah Khan,21
542,Chief Election Commissioner,21
543,Narendra Modi government,21
544,#MeToo,21
545,Raj Thackeray,21
546,Raghav's Take,21
547,Jawaharlal Nehru University,21
548,Simultaneous Elections,21
549,No Confidence Motion,21
550,congress leaders,21
551,CM Mehbooba Mufti,21
552,Karnataka CM Siddaramaiah,21
553,Shillong,21
554,Kairana Bypolls,21
555,Federal Front,21
556,Puducherry,21
557,Nationalist Democratic Progressive Party,21
558,Hindus,21
559,Rajasthan Polls,21
560,Didyouknow,21
561,Goa Forward Party,21
562,Sanjay Nirupam,21
563,Parliament Of India,21
564,telangana,21
565,2019 lok sabha elections,21
566,mizoram assembly elections,21
567,Tech,21
568,Karnataka elections,21
569,Rajasthan Assembly Elections,20
570,Mukhtar Abbas Naqvi,20
571,Enforcement Directorate,20
572,RSS Chief Mohan Bhagwat,20
573,François Hollande,20
574,United Progressive Alliance,20
575,Pakistan General Elections 2018,20
576,Youth Congress,20
577,Employment,20
578,Lieutenant Governor,20
579,Rajya Sabha Polls,20
580,Congress-JDS,20
581,PDP-BJP Alliance,20
582,Kumar Vishwas,20
583,Assembly,20
584,Ram Navami,20
585,Sheila Dikshit,20
586,Periyar,20
587,Prakash Jarwal,20
588,Lok Sabha Election,20
589,Election Commission Of India,20
590,Ahmedabad,20
591,Bharatiya Janata Party (BJP),20
592,United Opposition,20
593,fake news,20
594,minority appeasement,20
595,grand alliance,20
596,divya spandana,20
597,Kartarpur,19
598,PTI,19
599,Upendra Kushwaha,19
600,MeToo,19
601,Jammu and Kashmir Militancy,19
602,Arunachal Pradesh,19
603,Israel,19
604,BJP-Shiv Sena,19
605,Varanasi,19
606,Robert Vadra,19
607,Bollywood,19
608,urban naxals,19
609,Gauri Lankesh,19
610,MK Alagiri,19
611,Pune,19
612,Governor's Rule,19
613,United Kingdom,19
614,MSP,19
615,Raipur,19
616,CJI,19
617,South Korea,19
618,Ministry of External Affairs,19
619,Patna,19
620,Black Money,19
621,Vishwa Hindu Parishad,19
622,Dinesh Gundu Rao,19
623,Mandya,19
624,Salman Khurshid,19
625,SAD,19
626,Shivamogga,19
627,K Palaniswamy,19
628,Amethi,19
629,Karnataka Assembly Elections,19
630,KT Rama Rao,18
631,Raj Babbar,18
632,BJP-PDP Alliance,18
633,Bhartiya Janata Party,18
634,Subramanian Swamy,18
635,Dassault,18
636,UIDAI,18
637,NDA Government,18
638,Karnataka Politics,18
639,Chief Justice of India,18
640,Pakistan Army,18
641,Congress President,18
642,Amaravati,18
643,Umar Khalid,18
644,Mani Shankar Aiyar,18
645,Ashutosh,18
646,Saamana,18
647,Bypolls 2018,18
648,Pravin Togadia,18
649,Ram Janmabhoomi,18
650,Delhi Chief Minister Arvind Kejriwal,18
651,Thiruvananthapuram,18
652,Badami,18
653,Karnataka Assembly elections,18
654,Indian,18
655,Farm Loan Waiver,18
656,Lal Thanhawla,18
657,Muslim Appeasement,18
658,Lok Sabha Polls 2019,18
659,Bhima Koregaon Violence,18
660,Karnataka Assembly Polls 2018,18
661,Karnataka Election Result 2018,18
662,gujarat,18
663,Modi government,18
664,Mp Assembly election 2018,18
665,chhattisgarh Assembly election 2018,18
666,SBI,17
667,Kanhaiya Kumar,17
668,Uma Bharti,17
669,Mann Ki Baat,17
670,Madhya Pradesh assembly elections,17
671,Rajasthan Bypolls,17
672,Parliament of India,17
673,modi@4,17
674,WhatsApp,17
675,Governor,17
676,Pakistan Tehreek-e-Insaf,17
677,Trump,17
678,Congress Plenary Session,17
679,Rajya Sabha Elections 2018,17
680,PNB Fraud Case,17
681,AAP Government,17
682,Pawan Kalyan,17
683,BJP Chief Amit Shah,17
684,Ashok Chavan,17
685,Kathua rape case,17
686,ipl 2018,17
687,Caste Politics,17
688,Himachal Pradesh,17
689,Republic Day,17
690,Vladimir Lenin,17
691,Naxalism,17
692,QandA,17
693,CP Joshi,17
694,Chhattisgarh Assembly Election,17
695,Ramesh Chennithala,17
696,Agriculture,17
697,Harivansh Narayan Singh,17
698,Monsoon Session 2018,17
699,Live Updates,17
700,AAP MLA,17
701,Karnataka Election,17
702,Meghalaya Polls,17
703,Nagaland Elections,17
704,Ayodhya dispute,17
705,Congress corruption,17
706,congress IT cell,17
707,Daily Fix,17
708,Rajasthan assembly election 2018,17
709,kartarpur corridor,16
710, Arvind Kejriwal,16
711,India-Pakistan,16
712,BJP-RSS,16
713,Delhi CM Arvind Kejriwal,16
714,karti chidambaram,16
715,Sabarimala Temple,16
716,Chandigarh,16
717,UPA Government,16
718,Maharashtrawadi Gomantak Party,16
719,Scheduled Castes,16
720,Voting,16
721,bharat bandh,16
722,Bhima Koregaon violence,16
723,Nepal,16
724,Kalaignar,16
725,Indian Parliament,16
726,OBC,16
727,Question Hour,16
728,Rape,16
729,North Karnataka,16
730,Rahul Gandhi vs Narendra Modi,16
731,Congress Plenary,16
732,Gorakhpur Bypoll,16
733,Indore,16
734,Kim Jong-Un,16
735,Lokpal,16
736,Bangalore,16
737,Ambedkar,16
738,Shujaat Bukhari,16
739,QBullet,16
740,Rabri Devi,16
741,Kannur,16
742,Karni Sena,16
743,Madurai,16
744,Mizo National Front,16
745,LDF,16
746,Development,16
747,K Palaniswami,16
748,North-East Democratic Alliance,16
749,Bharatiya Janta Party,16
750,Health,16
751,navjot singh sidhu,16
752,media bias,16
753,communists,16
754,Listicle,16
755,Manvendra Singh,15
756,Bajrang Dal,15
757,ISIS,15
758,Maldives Crisis,15
759,Hizbul Mujahideen,15
760,Mandsaur,15
761,Goa Congress,15
762,Petrol,15
763,AAP MLAs,15
764,Bhim Army,15
765,Karnataka Cabinet,15
766,MGR,15
767,Kerala Floods,15
768,Chidambaram,15
769,Unnao Rape,15
770,Indian Politics,15
771,RIP Karunanidhi,15
772,CWC,15
773,Doklam,15
774,Rahul,15
775,Mark Zuckerberg,15
776,Defence Ministry,15
777,Kaala,15
778,justin trudeau,15
779,Pawan Khera,15
780,Patidar,15
781,Palghar,15
782,Partha Chatterjee,15
783,Calcutta High Court,15
784,Upper House,15
785,Amit Malviya,15
786,ECI,15
787,Maharashtra Assembly,15
788,Giriraj Singh,15
789,Assembly Polls,15
790,Militancy,15
791,Dantewada,15
792,By-Election,15
793,MNS,15
794,West Bengal Panchayat Election 2018,15
795,Soft Hindutva,15
796,Media Lies List,15
797,Congress scams,15
798,SabarimalaVerdict,15
799,anti hindu,15
800,assembly elections,15
801,national herald,15
802,World,15
803,Rafale deal,15
804,Madhya Pradesh assembly election,14
805,Chhattisgarh Assembly Elections 2018,14
806,Vyapam Scam,14
807,Delhi Chief Minister,14
808,White House,14
809,Sexual Harassment,14
810,BJP MLA,14
811,Naxal,14
812,Divya Spandana,14
813,Dhinakaran,14
814,Kim Jong Un,14
815,MG Ramachandran,14
816,Reliance,14
817,Delhi University,14
818,Arun Shourie,14
819,Shivpal Yadav,14
820,BJP Foundation Day,14
821,M Karunanidhi,14
822,Chattisgarh,14
823,Dravida Munnetra Kazhagam,14
824,Reservation,14
825,Guwahati,14
826,E Palaniswami,14
827,Budget,14
828,Malaysia,14
829,Singapore,14
830,South Asia,14
831,Karnataka HC,14
832,CJI Impeachment,14
833,BJP vs Opposition,14
834,Brinda Karat,14
835,Impeachment,14
836,Annual Budget 2018,14
837,Lenin's Statue,14
838,AK Antony,14
839,Araria,14
840,Sunil Deodhar,14
841,Sukma,14
842,UDP,14
843,CBSE,14
844,Renuka Chowdhury,14
845,Naga Peace Accord,14
846,Om Prakash Rawat,14
847,Madhya Pradesh Elections,14
848,Chhattisgarh Elections,14
849,Chief Minister Arvind Kejriwal,14
850,Goods And Services Tax,14
851,Business,14
852,Karti Chidambaram,14
853,Mungaoli,14
854,RLD,14
855,Kohima,14
856,caste politics,14
857,urban maoists,14
858,hindu,14
859,Karnataka Assembly election,14
860,sexual harassment,14
861,Ayodhya Dispute,13
862,Women Empowerment,13
863,Assembly Election,13
864,Priyanka Gandhi,13
865,Lalu Yadav,13
866,EAM Sushma Swaraj,13
867,Times Now,13
868,Jaswant Singh,13
869,Sri Lanka,13
870,Congress-JD(S),13
871,Goa Chief Minister Manohar Parrikar,13
872,Thoothukudi,13
873,AAP MLAs Disqualification,13
874,EPS,13
875,Diesel,13
876,Goa BJP,13
877,Prashant Kishor,13
878,Fuel Price Hike,13
879,Crackdown on activists,13
880,CRPF,13
881,Sohrabuddin Sheikh,13
882,cambridge analytica,13
883,Pakistan Elections,13
884,ED,13
885,All India Trinamool Congress,13
886,Christian,13
887,Emmanuel Macron,13
888,European Union,13
889,Brexit,13
890,Law Commission,13
891,dailynews,13
892,Prithviraj Chavan,13
893,JDS-Congress Alliance,13
894,Kashmir Valley,13
895,PMO,13
896,Bengal,13
897,Kapil Mishra,13
898,Sanjay Leela Bhansali,13
899,Cauvery Water Dispute Verdict,13
900,Karnataka Assembly Floor Test,13
901,Cauvery Issue,13
902,Karnataka Election News,13
903,Karnataka Chief Minister Siddaramaiah,13
904,Brahmins,13
905,Cauvery dispute,13
906,Lingayat Community,13
907,PJ Kurien,13
908,Northeast,13
909,Prakash Ambedkar,13
910,BMC,13
911,Kasganj,13
912,Gopal Rai,13
913,Union Budget,13
914,MNF,13
915,NEDA,13
916,Lok Sabha Elections 2019,13
917,Chief Justice Of India,13
918,Tribals,13
919,Sarbananda Sonowal,13
920,Tipu Sultan,13
921,Akali Dal,13
922,United Democratic Party,13
923,Parliament Live,13
924,Alliance,13
925,L-G,13
926,Kolaras,13
927,Karnataka Floor Test,13
928,Karnataka Assembly Elections 2018,13
929,Kathua Rape Case,13
930,North East Assembly Elections,13
931,Winter Session Of Parliament,13
932,congress gaffes,13
933,Rafale jets,13
934,naxals,13
935,Janata Dal (Secular),13
936,telangana Assembly election 2018,13
937,Sajjad Lone,12
938,Jammu and Kashmir Government,12
939,Harsimrat Kaur Badal,12
940, Mehbooba Mufti,12
941,Patriarchy,12
942,Maoist,12
943,Modi vs Rahul Gandhi,12
944,RTI,12
945,Aishwarya Rai,12
946,Maneka Gandhi,12
947,Iran,12
948,Taliban,12
949,Dr Manmohan Singh,12
950,Hafiz Saeed,12
951,Hindustan Aeronautics Limited,12
952,Dharmendra Pradhan,12
953,Theresa May,12
954,Vishva Hindu Parishad,12
955,Chief Minister Shivraj Singh Chouhan,12
956,Bombay High Court,12
957,QBengaluru,12
958,Sudha Bharadwaj,12
959,Gandhinagar,12
960,London,12
961,IPC,12
962,Latest news,12
963,Murder,12
964,Opposition Unity,12
965,CN Annadurai,12
966,15th Finance Commission,12
967,H. D. Kumaraswamy,12
968,Jayant Sinha,12
969,Pranab Mukherjee RSS Event,12
970,NDTV,12
971,BJP govt,12
972,Sushil Kumar Modi,12
973,Delhi Congress,12
974,Uttar Pradesh Politics,12
975,Sterlite Copper,12
976,sterlite protests,12
977,JD-S,12
978,Anti-Incumbency,12
979,Rajya Sabha MP,12
980,Germany,12
981,match recap,12
982,Om Prakash Rajbhar,12
983,IPL 11,12
984,Headlines,12
985,Bikram Singh Majithia,12
986,MEA,12
987,Haseeb Drabu,12
988,Communist,12
989,Alpesh Thakor,12
990,RK Nagar,12
991,Rajasthan Assembly Polls,12
992,Narendra Modi Government,12
993,Sukhbir Singh Badal,12
994,Rajnandgaon,12
995,Karnataka Bypolls,12
996,Lord Ayyappa,12
997,YS Jaganmohan Reddy,12
998,Panchayat Elections,12
999,Bhagwant Mann,12
1000,Belagavi,12
1001,Doka La,12
1002,Winter Session,12
1003,MLAs,12
1004,Left Wing,12
1005,Karnataka Election Result,12
1006,‪Bharatiya Janata Party‬,12
1007,Budget Session Of Parliament,12
1008,Palaniswamy,12
1009,anil ambani,12
1010,shivraj singh chouhan,12
1011,Labour,12
1012,LGBTQIA+,12
1013,FIFA World Cup 2018,11
1014,Farmers March,11
1015,Telangana Elections,11
1016,Congress ,11
1017,Jammu  and Kashmir,11
1018,Rajasthan BJP,11
1019,Union Minister,11
1020,Parkash Singh Badal,11
1021,Reserve Bank of India,11
1022,Turkey,11
1023,Maithripala Sirisena,11
1024,India-Maldives Relations,11
1025,Cabinet,11
1026,Jagan Mohan Reddy,11
1027,Afghanistan,11
1028, Supreme Court,11
1029,Police,11
1030,Satyendar Jain,11
1031,Surgical Strikes,11
1032,Tuticorin,11
1033,Sterlite,11
1034,Veerappa Moily,11
1035,Muzaffarpur,11
1036,Red Fort,11
1037,Hindu nationalism,11
1038,Rajya Sabha Election,11
1039,Panaji,11
1040,Amarnath Yatra,11
1041,Marina Beach,11
1042,Canada,11
1043,Mob lynching over whatsapp messages,11
1044,NaMo App,11
1045,Sukhpal Singh Khaira,11
1046,BJP-Congress,11
1047,Jobs,11
1048,Purulia,11
1049,Jay Shah,11
1050,Bal Thackeray,11
1051,Ramayana,11
1052,Sunanda Pushkar,11
1053,Karnataka Government,11
1054,AMU,11
1055,Ministry of Home Affairs,11
1056,Ajit Doval,11
1057,china,11
1058,Tripura CM Biplab Deb,11
1059,Ramzan Ceasefire,11
1060,America,11
1061,Right Wing,11
1062,Rajinikanth Politics,11
1063,Prakash Raj,11
1064,Kathua Rape &amp; Murder,11
1065,GT Deve Gowda,11
1066,D Raja,11
1067,Karnataka Chief Minister,11
1068,OPS,11
1069,Jay Panda,11
1070,KJ Alphons,11
1071,Kavinder Gupta,11
1072,Ranchi,11
1073,UDF,11
1074,MP,11
1075,Christians,11
1076,Kiren Rijiju,11
1077,Gujarat Assembly,11
1078,Derek O'Brien,11
1079,Freedom of Expression,11
1080,Mangaluru,11
1081,Shopian,11
1082,Rashtriya Lok Dal,11
1083,Kartarpur Corridor,11
1084,Madhya Pradesh Assembly Election,11
1085,Girish Chodankar,11
1086,Mizoram Polls,11
1087,Aizawl,11
1088,Supreme Court Of India,11
1089,Mridula Sinha,11
1090,Ramanagara,11
1091,YSRCP,11
1092,Radhakrishna Vikhe-Patil,11
1093,Rajya Sabha Deputy Chairman Election,11
1094,Jaganmohan Reddy,11
1095,Cauvery Dispute,11
1096,Jana Sena,11
1097,Tabassum Hasan,11
1098,Karnataka Assembly Election Result,11
1099,Narendra Modi In Karnataka,11
1100,manmohan singh,11
1101,leftist propaganda,11
1102,defence deals,11
1103,kerala government,11
1104,alpesh thakor,11
1105,rajasthan elections,10
1106,Jamal Khashoggi,10
1107,BJP-PDP Split,10
1108,Delhi Chief Secretary,10
1109,News,10
1110,Aaditya Thackeray,10
1111,2019 Lok Sabha election,10
1112,Rajnikanth,10
1113,Indian Constitution,10
1114,Petrol Price,10
1115,Reliance Defence,10
1116,Janata Dal (United),10
1117,Akhilesh-Mayawati,10
1118,Gandhi,10
1119,Mahabharata,10
1120,JNUSU,10
